Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
0Hour_ATCACG_L002_R1_001.qc	15.240083507306892	48.0	99.5883089770355	18.181818181818183	2395.0
0Hour_ATCACG_L002_R1_002.qc	16.53984781738086	48.0	99.64597517020424	18.181818181818183	2497.0
0Hour_ATCACG_L002_R1_003.qc	16.533226581265012	48.0	99.47157726180944	18.181818181818183	2498.0
0Hour_ATCACG_L002_R1_004.qc	16.23246492985973	48.0	99.5438877755511	18.181818181818183	2495.0
0Hour_ATCACG_L002_R1_005.qc	16.246498599439775	48.0	99.63345338135254	18.181818181818183	2499.0
0Hour_ATCACG_L002_R2_001.qc	4.008350730688932	46.0	99.55908141962422	9.090909090909092	2395.0
0Hour_ATCACG_L002_R2_002.qc	4.845814977973575	45.0	99.61553864637565	9.090909090909092	2497.0
0Hour_ATCACG_L002_R2_003.qc	4.683746997598078	45.0	99.43234587670136	9.090909090909092	2498.0
0Hour_ATCACG_L002_R2_004.qc	4.448897795591179	45.0	99.54549098196392	9.090909090909092	2495.0
0Hour_ATCACG_L002_R2_005.qc	4.041616646658667	45.0	99.63265306122449	9.090909090909092	2499.0
6Hour_CGATGT_L002_R1_001.qc	16.8744804655029	48.0	99.66417290108063	18.181818181818183	2406.0
6Hour_CGATGT_L002_R1_002.qc	16.192384769539075	48.0	99.61442885771542	18.181818181818183	2495.0
6Hour_CGATGT_L002_R1_003.qc	16.97357886309048	48.0	99.70696557245796	27.27272727272727	2498.0
6Hour_CGATGT_L002_R1_004.qc	16.840000000000003	48.0	99.6272	27.27272727272727	2500.0
6Hour_CGATGT_L002_R1_005.qc	15.532425940752603	48.0	99.871096877502	18.181818181818183	2498.0
6Hour_CGATGT_L002_R2_001.qc	8.603491271820445	45.0	99.5694098088113	18.181818181818183	2406.0
6Hour_CGATGT_L002_R2_002.qc	8.176352705410821	45.0	99.60480961923848	18.181818181818183	2495.0
6Hour_CGATGT_L002_R2_003.qc	9.167333867093674	45.0	99.67093674939952	27.27272727272727	2498.0
6Hour_CGATGT_L002_R2_004.qc	9.040000000000006	45.0	99.6472	18.181818181818183	2500.0
6Hour_CGATGT_L002_R2_005.qc	5.524419535628496	45.0	99.86869495596477	18.181818181818183	2498.0
