Module	Section	Sample Name	Source
FastQC	all_sections	6Hour_CGATGT_L002_R2_001.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R2_001.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_003.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R1_003.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_002.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R1_002.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_001.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R2_001.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_004.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R1_004.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_002.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R2_002.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_003.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R2_003.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_005.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R2_005.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_004.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R1_004.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_005.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R1_005.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_004.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R2_004.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_005.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R2_005.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_002.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R1_002.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_003.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R2_003.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_005.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R1_005.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_001.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R1_001.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_004.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R2_004.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_002.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R2_002.qc_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_003.qc	/home/weigandc/work/trim/0Hour_ATCACG_L002_R1_003.qc_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_001.qc	/home/weigandc/work/trim/6Hour_CGATGT_L002_R1_001.qc_fastqc.zip
